Dates;Open;Close;High;Low
03/04/2012 10:04:00;23,22;23,22;23,23;23,2
03/04/2012 10:05:00;23,2;23,17;23,2;23,17
03/04/2012 10:06:00;23,17;23,18;23,2;23,17
03/04/2012 10:07:00;23,17;23,2;23,2;23,17
03/04/2012 10:08:00;23,19;23,19;23,2;23,19
03/04/2012 10:09:00;23,2;23,19;23,2;23,19
03/04/2012 10:10:00;23,19;23,19;23,21;23,19
03/04/2012 10:11:00;23,2;23,21;23,25;23,19
03/04/2012 10:12:00;23,2;23,22;23,22;23,2
03/04/2012 10:13:00;23,21;23,21;23,21;23,19
03/04/2012 10:14:00;23,2;23,24;23,24;23,2
03/04/2012 10:15:00;23,24;23,25;23,3;23,23
03/04/2012 10:16:00;23,25;23,26;23,26;23,24
03/04/2012 10:17:00;23,26;23,23;23,26;23,23
03/04/2012 10:18:00;23,23;23,21;23,23;23,21
03/04/2012 10:19:00;23,21;23,22;23,23;23,21
03/04/2012 10:20:00;23,22;23,22;23,23;23,2
03/04/2012 10:21:00;23,21;23,21;23,22;23,19
03/04/2012 10:22:00;23,2;23,21;23,22;23,19
03/04/2012 10:23:00;23,22;23,22;23,22;23,19
03/04/2012 10:24:00;23,22;23,2;23,22;23,2
03/04/2012 10:25:00;23,21;23,16;23,21;23,16
03/04/2012 10:26:00;23,16;23,17;23,19;23,14
03/04/2012 10:27:00;23,17;23,17;23,18;23,16
03/04/2012 10:28:00;23,17;23,14;23,17;23,14
03/04/2012 10:29:00;23,14;23,13;23,15;23,11
03/04/2012 10:30:00;23,13;23,18;23,18;23,11
03/04/2012 10:31:00;23,17;23,21;23,21;23,17
03/04/2012 10:32:00;23,2;23,23;23,24;23,2
03/04/2012 10:33:00;23,24;23,18;23,24;23,18
03/04/2012 10:34:00;23,18;23,17;23,2;23,17
03/04/2012 10:35:00;23,17;23,17;23,17;23,13
03/04/2012 10:36:00;23,18;23,15;23,18;23,15
03/04/2012 10:37:00;23,16;23,17;23,17;23,15
03/04/2012 10:38:00;23,16;23,19;23,19;23,15
03/04/2012 10:39:00;23,18;23,14;23,18;23,14
03/04/2012 10:40:00;23,14;23,07;23,14;23,06
03/04/2012 10:41:00;23,08;23,08;23,13;23,06
03/04/2012 10:42:00;23,08;23,09;23,11;23,07
03/04/2012 10:43:00;23,09;23,1;23,11;23,08
03/04/2012 10:44:00;23,1;23,1;23,13;23,09
03/04/2012 10:45:00;23,1;23,09;23,12;23,09
03/04/2012 10:46:00;23,09;23,06;23,09;23,06
03/04/2012 10:47:00;23,06;23,03;23,07;23,03
03/04/2012 10:48:00;23,04;23,04;23,05;23,02
